Mods count: 114
 
                                      jar name                                        |    notes     |                mod id                |                                   mod name                                   |          mod version           |                                                                                                                                                                                                                                                                                                                                                                                                               mixin configs                                                                                                                                                                                                                                                                                                                                                                                                               |              modrinth hash               | curseforge hash
    /META-INF/jars/c2me-rewrites-chunk-serializer-mc1.21.1-0.3.0+alpha.0.91.jar       |              | c2me_rewrites_chunk_serializer       | Concurrent Chunk Management Engine (Rewrites/Chunk Serializer)               | 0.3.0+alpha.0.91+1.21.1        | c2me-rewrites-chunk-serializer.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |                                          |                
    /META-INF/jars/c2me-rewrites-chunk-system-mc1.21.1-0.3.0+alpha.0.91.jar           |              | c2me_rewrites_chunk_system           | Concurrent Chunk Management Engine (Rewrites/Chunk System)                   | 0.3.0+alpha.0.91+1.21.1        | c2me-rewrites-chunk-system.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                          |                
    /META-INF/jars/c2me-rewrites-chunkio-mc1.21.1-0.3.0+alpha.0.91.jar                |              | c2me_rewrites_chunkio                | Concurrent Chunk Management Engine (Rewrites/Chunk IO)                       | 0.3.0+alpha.0.91+1.21.1        | c2me-rewrites-chunkio.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |                                          |                
    /META-INF/jars/c2me-server-utils-mc1.21.1-0.3.0+alpha.0.91.jar                    |              | c2me_server_utils                    | Concurrent Chunk Management Engine (Server Utils)                            | 0.3.0+alpha.0.91+1.21.1        | c2me-server-utils.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |                                          |                
    /META-INF/jars/c2me-threading-lighting-mc1.21.1-0.3.0+alpha.0.91.jar              |              | c2me_threading_lighting              | Concurrent Chunk Management Engine (Threading/Lighting)                      | 0.3.0+alpha.0.91+1.21.1        | c2me-threading-lighting.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |                                          |                
    /META-INF/jars/exp4j-0.4.8.jar                                                    |              |                                      |                                                                              |                                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |                                          |                
    /META-INF/jars/jctools-core-4.0.5.jar                                             |              |                                      |                                                                              |                                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |                                          |                
    /META-INF/jars/reactive-streams-1.0.4.jar                                         |              |                                      |                                                                              |                                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |                                          |                
    /META-INF/jars/rxjava-3.1.12.jar                                                  |              |                                      |                                                                              |                                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |                                          |                
cable_facades-1.21.1-NeoForge-2.0.2.jar                                               |              | cable_facades                        | Cable Facades                                                                | 2.0.2                          | cable_facades.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | 04a696e8439c3a43162fb99984502b20882bb9bc | 1801643054     
cc-tweaked-1.21.1-forge-1.117.1.jar                                                   |              | computercraft                        | CC: Tweaked                                                                  | 1.117.1                        | computercraft.mixins.json, computercraft.forge.mixins.json, computercraft-client.forge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | aaf6233b23e1ff01ed286824ba359aaa5eed0918 | 788273438      
