Mods count: 149
 
                                      jar name                                        |    notes     |                mod id                 |                                   mod name                                   |          mod version           |                                                                                                                                                                                                                                                                                                                                                                                                               mixin configs                                                                                                                                                                                                                                                                                                                                                                                                               |              modrinth hash               | curseforge hash
biolith-neoforge-3.0.10.jar                                                           |              | biolith                               | Biolith                                                                      | 3.0.10                         | biolith.mixins.json, biolith.neoforge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | e04f50b55f1a917956a038c10066118264e4e170 | 3426477520     
c2me-neoforge-mc1.21.1-0.3.0+alpha.0.91.jar                                           |              | c2me                                  | Concurrent Chunk Management Engine                                           | 0.3.0+alpha.0.91+1.21.1        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | c858c8becfb5205eb12aaf0420eb82c307c2e6a7 | 3458117246     
    /META-INF/jars/asyncutil-0.1.0.jar                                                |              |                                       |                                                                              |                                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |                                          |                
    /META-INF/jars/c2me-base-mc1.21.1-0.3.0+alpha.0.91-all.jar                        |              | c2me_base                             | Concurrent Chunk Management Engine (Base)                                    | 0.3.0+alpha.0.91+1.21.1        | c2me-base.mixins.json, c2me.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |                                          |                
    /META-INF/jars/c2me-client-uncapvd-mc1.21.1-0.3.0+alpha.0.91.jar                  |              | c2me_client_uncapvd                   | Concurrent Chunk Management Engine (Client/Uncap View Distance)              | 0.3.0+alpha.0.91+1.21.1        | c2me-client-uncapvd.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |                                          |                
    /META-INF/jars/c2me-fixes-chunkio-threading-issues-mc1.21.1-0.3.0+alpha.0.91.jar  |              | c2me_fixes_chunkio_threading_issues   | Concurrent Chunk Management Engine (Fixes/Chunk IO/Threading Issues)         | 0.3.0+alpha.0.91+1.21.1        | c2me-fixes-chunkio-threading-issues.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |                                          |                
    /META-INF/jars/c2me-fixes-general-threading-issues-mc1.21.1-0.3.0+alpha.0.91.jar  |              | c2me_fixes_general_threading_issues   | Concurrent Chunk Management Engine (Fixes/General/Threading Issues)          | 0.3.0+alpha.0.91+1.21.1        | c2me-fixes-general-threading-issues.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |                                          |                
    /META-INF/jars/c2me-fixes-worldgen-threading-issues-mc1.21.1-0.3.0+alpha.0.91.jar |              | c2me_fixes_worldgen_threading_issues  | Concurrent Chunk Management Engine (Fixes/WorldGen/Threading Issues)         | 0.3.0+alpha.0.91+1.21.1        | c2me-fixes-worldgen-threading-issues.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |                                          |                
    /META-INF/jars/c2me-fixes-worldgen-vanilla-bugs-mc1.21.1-0.3.0+alpha.0.91.jar     |              | c2me_fixes_worldgen_vanilla_bugs      | Concurrent Chunk Management Engine (Fixes/WorldGen/Vanilla Bugs)             | 0.3.0+alpha.0.91+1.21.1        | c2me-fixes-worldgen-vanilla-bugs.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
    /META-INF/jars/c2me-notickvd-mc1.21.1-0.3.0+alpha.0.91.jar                        |              | c2me_notickvd                         | Concurrent Chunk Management Engine (No Tick View Distance)                   | 0.3.0+alpha.0.91+1.21.1        | c2me-notickvd.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |                                          |                
    /META-INF/jars/c2me-opts-allocs-mc1.21.1-0.3.0+alpha.0.91.jar                     |              | c2me_opts_allocs                      | Concurrent Chunk Management Engine (Optimizations/Memory Allocations)        | 0.3.0+alpha.0.91+1.21.1        | c2me-opts-allocs.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
    /META-INF/jars/c2me-opts-chunkio-mc1.21.1-0.3.0+alpha.0.91.jar                    |              | c2me_opts_chunkio                     | Concurrent Chunk Management Engine (Optimizations/Chunk IO)                  | 0.3.0+alpha.0.91+1.21.1        | c2me-opts-chunkio.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |                                          |                
    /META-INF/jars/c2me-opts-dfc-mc1.21.1-0.3.0+alpha.0.91.jar                        |              | c2me_opts_dfc                         | Concurrent Chunk Management Engine (Optimizations/Density Function Compiler) | 0.3.0+alpha.0.91+1.21.1        | c2me-opts-dfc.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |                                          |                
    /META-INF/jars/c2me-opts-math-mc1.21.1-0.3.0+alpha.0.91.jar                       |              | c2me_opts_math                        | Concurrent Chunk Management Engine (Optimizations/Math)                      | 0.3.0+alpha.0.91+1.21.1        | c2me-opts-math.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |                                          |                
    /META-INF/jars/c2me-opts-natives-math-mc1.21.1-0.3.0+alpha.0.91.jar               |              | c2me_opts_natives_math                | Concurrent Chunk Management Engine (Optimizations/Natives Math)              | 0.3.0+alpha.0.91+1.21.1        | c2me-opts-natives-math.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |                                          |                
    /META-INF/jars/c2me-opts-scheduling-mc1.21.1-0.3.0+alpha.0.91.jar                 |              | c2me_opts_scheduling                  | Concurrent Chunk Management Engine (Optimizations/Scheduling)                | 0.3.0+alpha.0.91+1.21.1        | c2me-opts-scheduling.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |                                          |                
    /META-INF/jars/c2me-opts-worldgen-general-mc1.21.1-0.3.0+alpha.0.91.jar           |              | c2me_opts_worldgen_general            | Concurrent Chunk Management Engine (Optimizations/General WorldGen)          | 0.3.0+alpha.0.91+1.21.1        | c2me-opts-worldgen-general.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                          |                
    /META-INF/jars/c2me-opts-worldgen-vanilla-mc1.21.1-0.3.0+alpha.0.91.jar           |              | c2me_opts_worldgen_vanilla            | Concurrent Chunk Management Engine (Optimizations/Vanilla WorldGen)          | 0.3.0+alpha.0.91+1.21.1        | c2me-opts-worldgen-vanilla.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                          |                
    /META-INF/jars/c2me-rewrites-chunk-serializer-mc1.21.1-0.3.0+alpha.0.91.jar       |              | c2me_rewrites_chunk_serializer        | Concurrent Chunk Management Engine (Rewrites/Chunk Serializer)               | 0.3.0+alpha.0.91+1.21.1        | c2me-rewrites-chunk-serializer.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |                                          |                
